Class,AUC
0,0.996178723751479
1,0.9926061805333782
2,0.9968199665250929
3,0.998733601408879
4,0.9973223306306702
5,0.9640322620480772
6,0.998595990117582
7,0.9948270945979358
8,0.9999864428870943
9,0.9999173418164641
10,0.9963033299593802
11,0.9909251637940405
12,0.9820614123710975
13,0.9973257853334954
14,0.9914441759615766
15,0.9962560976065444
16,0.9995355257674677
17,1.0
18,0.9846389313301078
19,0.9813316042778686
20,0.9834854971308736
21,0.989306815842212
22,0.9930511142189878
23,0.9907828108428587
24,0.9761765625948389
25,0.9895186336302444
26,0.9980167990325849
27,0.9926448809423654
28,0.9976791439185211
29,0.9861003796378534
30,0.9934159142430623
31,0.988265016303819
32,0.9999875225678772
33,0.9749892846613334
34,0.9946826626731133
35,0.9983799376375373
36,0.9688103302802751
37,0.9989782937688714
38,0.9968289934941642
39,0.9980496296317409
40,0.9949201926789462
41,0.9959992246282794
42,0.9868023028883685
43,0.9898705806758734
44,0.9962677242859672
45,0.9982672437540562
46,0.9888312235187886
47,0.9996816576952017
48,0.994741918323728
49,0.9984106485909092
50,0.9929602232843853
51,1.0
52,0.9998959525543648
53,0.9999999999999999
54,0.9982717753698687
55,0.9994103875834562
56,0.9989413618309826
57,0.9649998732976127
58,0.9971682795435397
59,0.9939820178287743
60,0.9866226404467471
61,0.9964189588108634
62,0.9930012023564961
63,0.9994797717932267
64,0.9998129477521969
65,0.9974188662666343
66,0.9999999999999999
67,0.9992537921891007
68,0.9943662134865927
69,0.9994932254498521
70,0.9999752246504817
71,0.9781580640442771
72,0.9997930304030004
73,0.9724376014084993
74,0.9801539072929446
75,0.9963191116204765
76,0.9810014673195805
77,0.990069318997661
78,0.9982681088964511
79,0.9881781127001247
80,0.9950019185223408
81,0.9845558955580023
82,0.9980851773857607
83,0.993769943118757
84,0.9889783647338727
85,0.9999211223639021
86,1.0
87,0.9957564772014625
88,0.9991917041353261
89,0.9877749403516958
90,0.9989845456088772
91,0.9774940631962761
92,0.9964980120302225
93,1.0
94,0.995476020869291
95,0.9936846491761151
96,0.9995454160934278
97,0.9961619634079527
98,
99,0.9954971379338501
100,0.9310685672666736
101,0.9964246728203979
102,0.979122243511504
103,0.9992048721537704
104,0.9863649681692465
105,0.9988554979450985
106,0.9572325147361342
107,0.9948693718732629
108,0.9985005087559577
109,1.0
110,1.0
111,0.9967802537645597
112,0.9466806562380771
113,0.9953889716364974
114,0.9896489284357761
115,0.9986528510965207
116,0.9943819271211595
117,0.9978128346623424
118,0.9871313952276752
119,0.9999922822087547
120,0.999932830583195
121,0.9916392280305257
122,0.9996509018065374
123,0.9974689429304373
124,0.9798553879991629
125,0.9967973310162809
126,0.996246961523448
127,0.9987546861982782
128,0.9953770679306275
129,0.989986959080574
130,0.9986587628483024
131,0.9981918913398693
132,0.9973719872942122
133,0.9993475517269327
134,0.9947128086626654
135,0.9919587807712992
136,0.9972605026711996
137,0.9978333460398744
138,0.9926972544172028
139,0.9606153099094725
140,0.9948147891231964
141,0.9934495993873906
142,0.9997519261738609
143,0.9999999999999999
144,0.9935195828196713
145,0.992363389502797
146,0.9935928839344281
147,
148,0.9955652468154639
149,0.9968729404419161
150,0.9999108087417343
151,1.0
152,0.9949534363456636
153,0.9713799749445889
154,1.0
155,1.0
156,0.999965005242325
157,0.9990115664071306
158,0.9932132982488948
159,0.9950769641699414
160,0.9970911574659126
161,0.9974860505559872
162,0.996215357366118
163,0.9962898701014524
164,0.9902350673350284
165,0.981332917121898
166,0.9998693003372148
167,0.9990585444884885
168,0.9967259164571384
169,0.999427751094881
170,0.9983452501033373
171,0.9996807975760462
172,0.9890774471083238
173,0.9962871762159948
174,0.9995858118698343
175,0.9764158316111218
176,1.0
177,0.998445422657498
178,0.9999930955915352
179,0.9999852451048465
180,0.9922401896690075
181,0.9974592722205154
182,0.9954165798430228
183,0.9668236967472632
184,0.9895131521948212
185,0.9559272361530191
186,0.9989442341017596
187,0.9884036444579741
188,0.9837286107179435
189,0.9882644079394803
190,0.9998887831138075
191,0.9918772462097922
192,0.9913936183751687
193,0.9951869710004163
194,0.9919970746033948
195,0.9953100405594092
196,0.9883364712244225
197,0.9956964776467825
198,1.0
199,0.9904526248770041
200,1.0
201,0.9970420348413305
202,0.9950572348297648
203,0.9999999999999999
204,0.9979612676861669
205,0.9955557678058721
206,0.9987608842711442
207,0.9919882077516691
208,0.9921969420712649
209,0.9859532585794808
210,0.9922520971814797
211,0.9999775525550805
212,0.9590284032718528
213,0.999938334768977
214,0.9969116968061185
215,0.9922556877985589
216,1.0
217,0.994107842589007
218,0.9931815659802137
219,0.9999830373348261
220,0.9991518302762201
221,0.9783290355629646
222,0.9977428636837286
223,0.9985571802352506
224,0.9999363844223014
225,0.9991591425634854
226,0.9993874093835167
227,0.9982288813691633
228,0.9999996662251939
229,0.9970310250940811
230,0.9971479983177844
231,0.9893291713633342
232,0.9995819046504997
233,0.9696582764883579
234,0.9983027446018312
235,0.9999965276572103
236,0.9979108658693296
237,0.9871927200101045
238,0.9856495355852817
239,0.9994914833101692
240,0.9987424168750579
241,0.9927683644188633
242,0.9835637627515579
243,0.998406753229775
244,0.9945741276200643
245,0.9998879724323239
246,0.984546042578315
247,0.9984422603834344
248,0.9851754515990754
249,0.9999811501391418
250,0.994476392251816
251,1.0
252,0.9898722229938808
253,0.997184197581124
254,0.9854147131346809
255,0.9999125441594457
256,0.9997919087172907
257,0.9993340617033454
258,0.999614370520067
259,0.9892191109781558
260,0.9995679766574465
261,1.0
262,0.9997361528159068
263,0.9768751423521618
264,0.9981870229007634
265,0.9842571118022494
266,0.9964997198846673
267,0.9329087472253053
268,0.9996227826363697
269,0.9946466821818518
270,0.9998959525543648
271,0.9996322026326715
272,0.9791864739642601
273,0.9997514379028296
274,0.9959190187880574
275,0.9807594912169744
276,0.9881389815423319
277,0.9937473974599208
278,0.9999989156083005
279,0.9964187853352294
280,
281,0.9999942194861123
282,0.9965593262811723
283,0.9963302049360442
284,0.9991149348612898
285,0.999997829107329
286,0.9988116745313104
