Class,AUC
0,0.9955167072658136
1,0.9908548638263612
2,0.9971888674759654
3,0.9989770795561788
4,0.9999837994963957
5,0.9958275507408456
6,0.9874061172052574
7,0.9914571292133906
8,0.9952622324257628
9,0.9911757035076407
10,0.9973205457781293
11,0.9906120147967974
12,0.9769373792297669
13,0.9808395408938887
14,0.9999266566231514
15,0.9997472636059593
16,0.9953756385171575
17,0.9841230762497196
18,0.9950079302358765
19,0.9963592915617718
20,0.9999397355112115
21,0.999621316995186
22,0.9808224792664626
23,0.9937224596048714
24,0.9999864671473084
25,0.9948832965054936
26,0.9896227715307223
27,0.9929293570912069
28,0.9999868267219945
29,0.9943274100055641
30,0.9914372959585724
31,0.9877881734728208
32,1.0
33,0.9963646532438478
34,0.9930271626275263
35,0.9897471392008398
36,0.9929645535623796
37,0.9961447049263461
38,1.0
39,0.993654431984719
40,0.9761688192450328
41,0.9977244508199217
42,0.989788008854973
43,0.9925650712561142
44,0.9984929340843957
45,0.9971762219671712
46,0.9991428891843829
47,0.9965925836209854
48,0.9384956338908569
49,0.9912950978939221
50,0.9999130729578664
51,0.9990439972907378
52,0.9914462892340302
53,0.9901819559024518
54,0.9993017048011178
55,0.9998674386373996
56,0.9830156997787055
57,0.9968127513761494
58,0.998076020357743
59,
60,0.996039309201223
61,0.989640534377275
62,0.993643427741467
63,0.9810717842501115
64,
65,0.9969970394009141
66,0.9908000231415638
67,0.9887067395264116
68,0.9910815392081701
69,0.9988856014418789
70,0.9976828304060862
71,0.9946848270547692
72,0.9981879510246061
73,0.9968223141577097
74,0.9899222549489691
75,0.991565805748206
76,0.9960234689135714
77,0.9898728083510692
78,0.9979532349474546
79,0.998758551530959
80,0.9998201847552239
81,0.9968155575312544
82,0.9983844951562999
83,0.9747138707334786
84,1.0
85,0.9946911196911197
86,0.9840811352865456
87,0.9990165314752539
88,0.9991957196044375
89,0.9995863737711564
90,0.9923684447040848
91,0.9983069409168036
92,0.9990568679779909
93,0.9933108149440935
94,0.9987597536178815
95,1.0
96,0.9978326105493736
97,0.9916485341936015
98,0.9993428081917752
99,0.9938570847257256
100,0.9999846960460844
101,0.9991913570029518
102,0.9972638520648902
103,0.9809326881575048
104,0.9972570781819337
105,0.9736467993111777
106,0.9999522114560676
107,0.9973805169772154
108,
109,0.9999190870201508
110,0.9999589612265668
111,0.9863898678520289
112,0.9897170224082907
113,0.9975480881607005
114,0.9979320708923632
115,0.9995089959606249
116,1.0
117,0.9990176720308027
118,0.9980253730605791
119,0.9945751343887163
120,0.9853416300483855
121,0.9886188176283877
122,0.9998396356956056
123,0.9887444014289916
124,0.9999922601892189
125,0.9951295986622074
126,0.9337009321255088
127,0.9936444298477494
128,0.9906512871186786
129,0.9999469672498661
130,0.982853830951657
131,0.9931056238418908
132,0.9862798675204993
133,0.987926538183108
134,0.9940764125245949
135,0.9893266170687196
136,0.9882445974979722
